feature,Lasso Coef,Ridge Coef,Elastic Net Coef
Close,2.7955893773387985,2.677242852849118,2.788410604011707
Open,-2.7582916620932676,-2.530637969791235,-2.7230304761802024
Futures_Last_Price,-0.006266190591723193,-0.17946441334691346,-0.0378446069047435
2yr_treasury,-0.0029252223010494943,-0.023915607340976943,-0.0038730330142661253
volume_H25,0.0012676442582578529,0.001544185309401762,0.0017733844097020445
yield_curve,0.0005602072108124927,-0.01067370289878811,0.0007836676673789074
VIX,-0.00046372411590747296,-0.014848513866467962,-0.0018134876988566797
Overnight_Return,-0.00041882228353446203,-0.004948931194682134,-0.001040017062800155
volume_C25,-0.00038885256595793283,-9.709680784270799e-05,-0.0012613789392463197
mean_H0,0.00031650548982348117,0.002691666248894472,0.0010700948620772663
exp_rate,0.00022767854878008652,0.004683342517638547,0.0011156750913508971
Overnight_Volatility,0.00015943149605635685,0.0001918469462292567,0.0005444987534286341
Volume,-1.938384949281617e-05,0.004721805071344823,-1.288405129092353e-05
Low,0.0,0.0670361848428353,0.0033889900101923796
High,-0.0,-0.0150556325661385,0.0002122028290346964
fed_funds_rate,0.0,-0.03709300351057173,-0.0
10yr_treasury,-0.0,0.006979813563331854,-0.0
3m_treasury,0.0,0.029104342433620232,0.0011184070229416309
volume_H0,-0.0,0.001173511832689864,-0.0
